accent,n_samples,wer,cer,avg_len_chars
other,240,23.904576436222005,17.46629186716852,87.45416666666667
clean,260,15.48343475321163,10.225663299027477,122.20384615384616
OVERALL,500,18.934557063048683,13.10602327432622,105.524
