accent,n_samples,wer,cer,avg_len_chars
other,240,8.154819863680624,3.754347515365191,87.45416666666667
clean,260,4.411764705882353,1.721587511409058,122.20384615384616
OVERALL,500,5.9457302474062255,2.530230089837383,105.524
